condition_group_id	condition_id	date_created	date_modified
372	347	2018-02-10 05:15:39	2018-02-10 05:15:39
372	348	2018-02-10 05:15:39	2018-02-10 05:15:39
372	349	2018-02-10 05:15:39	2018-02-10 05:15:39
374	350	2018-02-10 05:15:39	2018-02-10 05:15:39
374	351	2018-02-10 05:15:39	2018-02-10 05:15:39
374	352	2018-02-10 05:15:39	2018-02-10 05:15:39
374	353	2018-02-10 05:15:39	2018-02-10 05:15:39
374	354	2018-02-10 05:15:39	2018-02-10 05:15:39
374	355	2018-02-10 05:15:39	2018-02-10 05:15:39
374	356	2018-02-10 05:15:39	2018-02-10 05:15:39
375	357	2018-02-10 05:15:39	2018-02-10 05:15:39
375	358	2018-02-10 05:15:39	2018-02-10 05:15:39
375	359	2018-02-10 05:15:39	2018-02-10 05:15:39
375	360	2018-02-10 05:15:39	2018-02-10 05:15:39
377	361	2018-02-10 05:15:39	2018-02-10 05:15:39
377	362	2018-02-10 05:15:39	2018-02-10 05:15:39
377	363	2018-02-10 05:15:39	2018-02-10 05:15:39
378	364	2018-02-10 05:15:39	2018-02-10 05:15:39
378	365	2018-02-10 05:15:39	2018-02-10 05:15:39
378	366	2018-02-10 05:15:39	2018-02-10 05:15:39
378	367	2018-02-10 05:15:39	2018-02-10 05:15:39
378	368	2018-02-10 05:15:39	2018-02-10 05:15:39
379	369	2018-02-10 05:15:39	2018-02-10 05:15:39
379	370	2018-02-10 05:15:39	2018-02-10 05:15:39
379	371	2018-02-10 05:15:39	2018-02-10 05:15:39
379	372	2018-02-10 05:15:39	2018-02-10 05:15:39
380	373	2018-02-10 05:15:39	2018-02-10 05:15:39
380	374	2018-02-10 05:15:39	2018-02-10 05:15:39
380	375	2018-02-10 05:15:39	2018-02-10 05:15:39
380	376	2018-02-10 05:15:39	2018-02-10 05:15:39
380	377	2018-02-10 05:15:39	2018-02-10 05:15:39
380	378	2018-02-10 05:15:39	2018-02-10 05:15:39
380	379	2018-02-10 05:15:39	2018-02-10 05:15:39
382	380	2018-02-10 05:15:39	2018-02-10 05:15:39
382	381	2018-02-10 05:15:39	2018-02-10 05:15:39
382	382	2018-02-10 05:15:39	2018-02-10 05:15:39
382	383	2018-02-10 05:15:39	2018-02-10 05:15:39
382	384	2018-02-10 05:15:39	2018-02-10 05:15:39
382	385	2018-02-10 05:15:39	2018-02-10 05:15:39
382	386	2018-02-10 05:15:39	2018-02-10 05:15:39
382	387	2018-02-10 05:15:39	2018-02-10 05:15:39
382	388	2018-02-10 05:15:39	2018-02-10 05:15:39
383	389	2018-02-10 05:15:39	2018-02-10 05:15:39
383	390	2018-02-10 05:15:39	2018-02-10 05:15:39
383	391	2018-02-10 05:15:39	2018-02-10 05:15:39
383	392	2018-02-10 05:15:39	2018-02-10 05:15:39
383	393	2018-02-10 05:15:39	2018-02-10 05:15:39
